"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.90652,2.2158e+05,1.0924,317.18,2.3028,0,66434,-1.0035,255.3,1,1.557,1.557,0.3,0
0.90457,2.2116e+05,1.0948,317.07,1.8794,0,66234,-1.0092,255.08,1,1.56,1.56,0.3,0
0.90262,2.2074e+05,1.0973,316.96,1.4561,0,66034,-1.015,254.86,1,1.563,1.563,0.3,0
0.90067,2.2032e+05,1.0997,316.84,1.0329,0,65835,-1.0207,254.64,1,1.566,1.566,0.3,0
0.89873,2.199e+05,1.1021,316.72,0.60984,0,65636,-1.0264,254.42,1,1.569,1.569,0.3,0
0.89679,2.1948e+05,1.1046,316.6,0.187,0,65438,-1.0321,254.2,1,1.572,1.572,0.3,0
0.89486,2.1906e+05,1.107,316.48,-0.23559,0,65241,-1.0378,253.98,1,1.575,1.575,0.3,0
0.89292,2.1865e+05,1.1094,316.35,-0.65789,0,65043,-1.0435,253.76,1,1.578,1.578,0.3,0
0.891,2.1823e+05,1.1119,316.22,-1.0799,0,64847,-1.0491,253.54,1,1.581,1.581,0.3,0
0.88907,2.1782e+05,1.1143,316.09,-1.5016,0,64651,-1.0548,253.32,1,1.584,1.584,0.3,0
0.88715,2.174e+05,1.1167,315.95,-1.9229,0,64456,-1.0604,253.1,1,1.587,1.587,0.3,0
0.88524,2.1699e+05,1.1191,315.81,-2.3437,0,64261,-1.066,252.88,1,1.59,1.59,0.3,0
0.88333,2.1658e+05,1.1215,315.67,-2.7642,0,64067,-1.0716,252.66,1,1.593,1.593,0.3,0
0.88142,2.1616e+05,1.1239,315.52,-3.1841,0,63874,-1.0771,252.45,1,1.596,1.596,0.3,0
0.87952,2.1575e+05,1.1263,315.38,-3.6035,0,63681,-1.0827,252.23,1,1.599,1.599,0.3,0
0.87762,2.1534e+05,1.1287,315.23,-4.0225,0,63488,-1.0882,252.01,1,1.602,1.602,0.3,0
0.87573,2.1493e+05,1.1311,315.07,-4.4408,0,63297,-1.0937,251.79,1,1.605,1.605,0.3,0
0.87384,2.1452e+05,1.1335,314.92,-4.8586,0,63106,-1.0992,251.57,1,1.608,1.608,0.3,0
0.87196,2.1411e+05,1.1359,314.76,-5.2757,0,62915,-1.1047,251.36,1,1.611,1.611,0.3,0
