Density,Momentumx,Momentumy,Energy
1.2226,221.88,-0.1729,283200
1.2217,222.36,-0.16659,283030
1.2208,222.81,-0.16055,282860
1.22,223.26,-0.15475,282690
1.2191,223.69,-0.14928,282530
1.2183,224.11,-0.14388,282370
1.2175,224.52,-0.13845,282220
1.2168,224.92,-0.13383,282070
1.216,225.31,-0.12994,281920
1.2152,225.72,-0.12498,281770
1.2143,226.16,-0.11905,281600
1.2134,226.63,-0.11338,281420
1.2125,227.12,-0.10785,281230
1.2115,227.62,-0.10215,281040
1.2105,228.12,-0.096478,280840
1.2095,228.63,-0.09093,280640
1.2084,229.14,-0.085513,280450
1.2074,229.64,-0.08026,280250
1.2065,230.13,-0.075202,280060
1.2055,230.61,-0.070357,279870
1.2045,231.08,-0.065744,279690
1.2036,231.52,-0.061377,279510
1.2028,231.95,-0.057264,279350
1.202,232.36,-0.053407,279190
1.2012,232.75,-0.049804,279030
1.2004,233.12,-0.046453,278890
1.1997,233.46,-0.043347,278760
1.1991,233.79,-0.040478,278630
1.1985,234.09,-0.037836,278510
1.1979,234.38,-0.035408,278400
1.1974,234.65,-0.033183,278300
1.1969,234.89,-0.031149,278210
1.1965,235.13,-0.029293,278120
1.196,235.34,-0.027602,278040
1.1957,235.54,-0.026064,277970
1.1953,235.72,-0.02467,277900
1.195,235.89,-0.023408,277840
1.1947,236.05,-0.022266,277780
1.1944,236.2,-0.021233,277730
1.1942,236.34,-0.020301,277680
1.1939,236.47,-0.01946,277630
1.1937,236.58,-0.018702,277590
1.1935,236.69,-0.01802,277560
1.1933,236.8,-0.017406,277520
1.1932,236.89,-0.016855,277490
1.193,236.98,-0.01636,277460
1.1929,237.06,-0.015915,277430
1.1927,237.14,-0.015516,277410
1.1926,237.22,-0.015159,277380
1.1925,237.28,-0.014839,277360
1.1924,237.35,-0.014551,277340
1.1923,237.41,-0.014294,277320
1.1922,237.47,-0.014063,277300
1.1921,237.52,-0.013856,277280
1.192,237.57,-0.013671,277270
1.1919,237.62,-0.013504,277250
1.1918,237.67,-0.013355,277240
